"Grup: G21m"
DNI,Nom,Cognoms,Direccio,CP
000000000,000000000,000000000,000000000,0
000000001,000000000,000000000,000000000,0
000000003,000000003,000000003,000000003,3
000000010,000000002,000000002,000000002,2
000000011,000000011,000000011,000000011,11
000000012,000000012,000000012,000000012,12
000000013,000000013,000000013,000000013,13
000000014,000000014,000000014,000000014,14
000000017,000000017,000000017,000000017,17
000000018,000000018,000000018,000000018,18
000000019,000000019,000000019,000000019,19
00000009A,00001234,00001234A,00001234A,1234
00000009B,00001234,00001234A,00001234A,1234
00000009C,00001234,00001234A,00001234A,1234
00000009D,00001234,00001234A,00001234A,1234
00000010A,Nombre1,Apellido2,"Juan de juanes 4",4563
00000099A,00000099A,00000099A,00000099A,99
32569814q,ÁLFREDO,"VICENTE BÓIX","TRINQUET 44",46410
32659874W,ÁLFREDO,"VICENTE BÓIX","TRINQUET 44",46410
33333333A,Nom9,Cagnom9,"La meua",46410
44444444B,ALFREDO,dadas,dada,4532543
45785213w,Natalia,Rico,"Juna de juanes",45826
55555555R,Nom1,Cognom6,"laque siga",545822
98765432Q,ÁLFREDO,"VICENTE BÓIX","TRINQUET 44",46410
99999991A,"Jose Luis",RRrr,fhslafjdsa,6786
99999999E,Natalia,Rico,"Juan de juanes 4",46410
99999999F,Natalia,Rico,"Juan de juanes 4",46410
